Source Split,Arm,Count,Accuracy,Predicted Unacceptable,Gold Unacceptable,Signed Bias,Absolute Bias Magnitude
train,Seed Frozen,5581,0.5289,0.5323,0.4565,0.0758,0.0758
train,Iterative From Seed,5581,0.5298,0.5250,0.4565,0.0684,0.0684
train,Single Full-Budget,5581,0.5273,0.5099,0.4565,0.0534,0.0534
train,Expert Benchmark,5581,0.5257,0.5370,0.4565,0.0805,0.0805
train,Empty Prompt,5581,0.5266,0.4798,0.4565,0.0233,0.0233
validation,Seed Frozen,1537,0.4997,0.4639,0.4684,-0.0046,0.0046
validation,Iterative From Seed,1537,0.4971,0.4574,0.4684,-0.0111,0.0111
validation,Single Full-Budget,1537,0.4938,0.4359,0.4684,-0.0325,0.0325
validation,Expert Benchmark,1537,0.4906,0.4717,0.4684,0.0033,0.0033
validation,Empty Prompt,1537,0.5023,0.4014,0.4684,-0.0670,0.0670
